,,,,,
Name ,Nationality ,Birth ,Death ,Grand Slam singles titles ,Notes 
".mw-parser-output 
.navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output 
.navbar-collapse{float:left;text-align:left}.mw-parser-output 
.navbar-boxtext{word-spacing:0}.mw-parser-output .navbar 
ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output 
.navbar-brackets::before{margin-right:-0.125em;content:""[ 
""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" 
]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output 
.navbar-mini 
abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output 
.navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output 
.navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox 
.navbar{font-size:100%}.mw-parser-output .navbox 
.navbar{display:block;font-size:100%}.mw-parser-output .navbox-title 
.navbar{float:left;text-align:left;margin-right:0.5em}vteTennis records and statistics",,,,,
Grand Slam,"Singles Men's champions Chronological Women's champions Chronological 
Finals Open Era Men's finals Women's finals Records Age at first title 
Champions by country Boys' champions Girls' champions Doubles Men's 
champions Women's champions Mixed champions Champions by country Boys' 
champions Girls' champions ",,,,
Singles," Men's champions Chronological Women's champions Chronological Finals Open 
Era Men's finals Women's finals Records Age at first title Champions by 
country Boys' champions Girls' champions ",,,,
Doubles," Men's champions Women's champions Mixed champions Champions by country 
Boys' champions Girls' champions ",,,,
Men's,"Singles Open Era records All-time records ATP records Masters records Big 
Titles champions Rankings World No. 1 All-time No. 1s World Champions Top 
players ATP Awards Misc. Doubles Rankings World No. 1 World Champions 
Masters champions Big Titles champions Top players ",,,,
Singles," Open Era records All-time records ATP records Masters records Big Titles 
champions Rankings World No. 1 All-time No. 1s World Champions Top players 
ATP Awards Misc. ",,,,
Doubles," Rankings World No. 1 World Champions Masters champions Big Titles 
champions Top players ",,,,
Women's," Open Era records All-time records WTA records Tier I/Premier champions 
Rankings World No. 1 All-time No. 1s World Champions Top players WTA Awards ",,,,
Other lists," Notable rivalries Open Era Titles leaders Players' achievements Ranking 
per country Tournaments Singles Doubles Olympics ITF Rankings Davis Cup 
champions Billie Jean King Cup champions ",,,,
" Matches Longest Shortest Bagel Golden set Tiebreaker Serving Speed Aces 
Double faults ",,,,,
